cpf,nome,data_nascimento,cidade,estado,nivel_conta,email
054.638.179-01,Pedro Henrique Mendonça,1942-09-06,Fernandes das Flores,SC,Ouro,maria-helenacardoso@example.net
806.479.521-49,Ravi Cirino,1944-02-16,Garcia Alegre,DF,Prata,vduarte@example.com
469.803.527-92,Sr. Bernardo Vasconcelos,2005-11-06,Sá,AC,Prata,muriloalmeida@example.net
239.850.167-12,Sr. Danilo Vasconcelos,1996-06-16,das Neves,AM,Ouro,das-nevesfernanda@example.com
319.052.647-80,Dr. Léo Azevedo,1975-02-19,Albuquerque das Pedras,TO,Prata,bcaldeira@example.com
726.154.839-19,Maya Siqueira,1981-01-09,Duarte de Goiás,TO,Prata,da-motamanuella@example.org
765.032.198-30,Dr. Luigi da Mota,2000-08-11,Novais do Sul,PE,Ouro,enzo-gabrielda-costa@example.net
673.589.402-29,Henry Guerra,1987-10-13,das Neves,RO,Prata,maria-julia88@example.com
685.273.914-73,Dante Silveira,1953-10-23,Campos da Prata,SP,Ouro,matheuscunha@example.net
748.012.536-44,Anthony Gabriel Santos,1977-01-19,da Mota,AL,Prata,novaesana@example.net
271.604.983-13,Manuela Cirino,2006-05-29,da Cunha,PR,Prata,azevedoisadora@example.com
102.947.835-04,Maria Vitória Pereira,1981-04-09,Vasconcelos,PE,Bronze,cmachado@example.com
964.780.532-29,Bruno Castro,1957-01-10,Novaes,AP,Bronze,andrejesus@example.com
974.012.835-14,Igor da Luz,1994-04-26,Lima,AM,Bronze,kaiqueda-mata@example.org
102.674.598-58,Liz Sampaio,1968-02-05,Montenegro da Prata,PR,Bronze,mbarros@example.org
654.091.827-58,Ana Cecília Teixeira,1992-03-03,Melo,PE,Bronze,lda-mota@example.net
671.329.580-03,Lucas Jesus,1987-11-29,da Paz de Ribeiro,MG,Bronze,marquesfelipe@example.com
451.639.027-25,Ana Júlia Correia,1975-12-26,Pinto do Amparo,RS,Bronze,dteixeira@example.org
482.735.096-56,Srta. Luana Novaes,1941-08-20,Borges de Goiás,TO,Prata,martinsisaac@example.net
274.859.316-28,Rafael Novaes,1950-07-20,Correia do Galho,SC,Prata,davi-miguelda-mota@example.com
584.602.731-80,Pietro Nascimento,1973-08-31,Farias da Prata,SP,Prata,umarques@example.org
369.870.251-77,Sra. Maria Isis Ribeiro,1994-08-18,Monteiro,AL,Bronze,milenapastor@example.com
179.430.856-39,Ravy Viana,2006-08-29,Fernandes das Flores,RS,Bronze,fariassophie@example.com
570.481.293-79,Beatriz Teixeira,1983-10-31,Macedo,CE,Ouro,benjamin05@example.org
458.317.620-17,Erick Barros,1982-03-08,Pinto de Goiás,PR,Prata,ravimartins@example.net
479.503.286-65,Pedro Miguel Ferreira,2007-12-01,Porto das Pedras,RR,Prata,maria-alice43@example.com
713.942.568-09,Miguel da Mota,1941-04-04,Pereira,SC,Bronze,xda-paz@example.org
953.814.270-50,Aylla Pires,1984-09-08,das Neves,SE,Prata,landrade@example.com
214.953.806-70,Maria Clara Moura,1974-11-08,Cavalcante Paulista,TO,Bronze,vda-rocha@example.com
179.863.205-59,João Nascimento,1949-02-11,Freitas de Rocha,SC,Prata,giovanna51@example.net
370.462.158-71,Nicole Sampaio,1961-04-08,Camargo Grande,AL,Ouro,da-rosamarina@example.org
132.867.540-80,Beatriz Mendonça,1982-08-08,da Mota do Norte,RR,Prata,pedro-henrique77@example.org
519.472.086-67,Davi Marques,1946-12-11,Ramos,RS,Prata,aragaobrenda@example.org
231.647.508-62,Alexandre da Mota,1999-02-13,Cardoso,PI,Prata,luiz-fernando10@example.org
053.429.176-70,Otto Moura,1948-06-09,Melo,PB,Ouro,olivia91@example.com
830.564.217-80,Rhavi Guerra,1969-09-18,Mendonça,RR,Ouro,fbarbosa@example.com
921.784.563-91,Sofia Pereira,1969-12-24,Vieira,RR,Bronze,rezendepedro@example.com
736.285.490-00,Dr. Levi Rios,1958-01-19,Cassiano do Amparo,AP,Bronze,barrosfrancisco@example.com
152.406.738-53,Maria Rios,2004-09-30,Silveira do Norte,MA,Bronze,clarice19@example.net
327.108.456-44,Heloisa Lima,1998-03-21,Pereira,RO,Bronze,benjamin24@example.net
458.017.362-71,Dra. Ana Borges,1991-06-24,Garcia,PA,Bronze,kfernandes@example.com
451.078.623-90,Pedro Miguel Ribeiro,1969-07-23,Pereira de Macedo,PA,Ouro,pedro81@example.com
614.597.328-55,Henry Gonçalves,2007-09-12,Abreu,DF,Ouro,otavio24@example.com
510.396.874-66,Heloísa Montenegro,1978-09-23,Barbosa das Flores,SC,Bronze,lopesarthur-miguel@example.com
156.438.209-51,Luan Cavalcante,1995-03-27,Sales de Fonseca,AP,Prata,pcaldeira@example.com
961.325.780-21,Thomas Porto,1948-06-19,Vasconcelos,MS,Prata,juan31@example.org
432.910.578-05,Melissa Rodrigues,2003-08-05,Pires Alegre,BA,Ouro,eazevedo@example.com
490.287.613-22,Benjamin Freitas,1997-04-20,Barbosa de Minas,RN,Prata,lmartins@example.net
073.248.195-32,Luigi Silva,1946-06-12,Aparecida,ES,Bronze,hmacedo@example.net
925.863.410-15,Lívia Azevedo,1963-02-21,Novais,RO,Bronze,qda-paz@example.net
925.041.873-60,Bryan das Neves,1978-09-28,Ramos Alegre,TO,Prata,saraborges@example.net
685.027.193-86,Evelyn Câmara,1950-01-25,Barbosa,MA,Bronze,montenegrovalentina@example.net
805.641.392-89,Enzo Silveira,1970-06-28,Jesus,MS,Prata,liviapimenta@example.com
738.291.654-55,Larissa Vasconcelos,1966-09-10,Castro do Oeste,SE,Ouro,theodoroaragao@example.net
751.840.263-71,Rael Moraes,1950-09-25,Borges de Goiás,TO,Prata,bferreira@example.com
065.139.247-07,Sr. Lucas Gabriel Vieira,1950-08-24,Andrade,MA,Bronze,isampaio@example.net
790.862.153-86,João Pedro da Costa,1961-03-14,Aragão,ES,Ouro,yporto@example.net
718.634.025-35,Srta. Lavínia Lima,1940-10-23,da Costa Verde,PA,Prata,enzo-gabrielmoura@example.com
180.367.592-68,Srta. Maria Alice Viana,1945-04-21,da Costa do Campo,SP,Bronze,joao-felipe05@example.net
527.931.406-43,Juan Costa,1943-09-08,Aparecida,MT,Bronze,olivia68@example.com
403.268.519-33,Dr. Murilo Souza,1970-08-18,Fernandes da Serra,PR,Bronze,zfreitas@example.net
416.039.825-15,Sr. Bruno Duarte,1985-09-06,das Neves dos Dourados,RN,Prata,scavalcante@example.com
570.924.318-32,Nathan Fonseca,1975-08-15,Alves,BA,Ouro,iandrade@example.org
358.940.126-51,Dr. Pedro Miguel Teixeira,1945-12-08,Moura,MS,Prata,pdias@example.com
310.589.427-60,José Pedro Santos,1971-01-28,Pimenta,MA,Bronze,hcosta@example.org
172.530.869-02,Srta. Ágatha da Rocha,2001-05-12,Castro da Serra,SE,Prata,nicole31@example.org
237.094.516-80,Aurora Azevedo,1961-10-02,Silva do Amparo,PE,Ouro,avargas@example.net
125.703.489-88,Yuri Porto,1980-09-14,Vargas,BA,Prata,dmontenegro@example.org
824.169.537-37,José Costa,1983-12-03,Cardoso da Mata,RN,Ouro,montenegrolucca@example.net
928.546.730-00,Bruno Aparecida,2005-04-03,Rezende do Oeste,SP,Ouro,opinto@example.org
784.523.169-09,Rafael Barbosa,1987-07-26,Castro,PB,Bronze,dmendes@example.org
529.678.410-30,Sr. Liam da Costa,1972-06-13,da Mata,PB,Prata,joao-miguelbrito@example.org
468.172.903-50,Sophie Martins,1974-08-24,Monteiro do Sul,AP,Prata,dmontenegro@example.org
350.729.416-80,Pedro Carvalho,2000-10-03,Siqueira da Praia,SP,Prata,cfonseca@example.com
083.246.915-70,Lara Pinto,1987-01-03,Cardoso,AM,Bronze,yfreitas@example.com
852.149.370-32,Arthur Miguel Carvalho,1989-04-07,Melo do Galho,PB,Prata,oliviacarvalho@example.com
952.347.861-37,Dra. Letícia Melo,1996-03-20,Freitas,MT,Bronze,leaoana-liz@example.net
074.586.129-67,Pietra Cavalcante,1976-05-18,Casa Grande de Goiás,AL,Prata,correiaarthur-miguel@example.com
562.391.874-37,Dra. Ana Liz Santos,1950-02-07,Novais,MT,Prata,ymoura@example.com
275.498.306-65,Kaique Câmara,2004-10-09,Vargas da Mata,RR,Ouro,marianadias@example.com
584.207.316-17,João Vitor Aparecida,1960-04-12,Ferreira,PB,Ouro,maria-luiza33@example.net
489.107.652-67,Vitória Câmara,1984-02-13,Aragão,AM,Bronze,tfarias@example.com
120.493.657-99,Lorenzo da Paz,1984-08-28,Vargas,AP,Prata,sophiesousa@example.net
026.719.354-80,Sra. Ana Carolina Albuquerque,1961-01-04,Farias,MA,Bronze,iramos@example.net
729.810.645-76,Jade Silva,1953-05-18,Sousa,MT,Ouro,matheus29@example.net
695.038.147-66,Sr. André da Luz,1966-10-22,Machado,SP,Ouro,bella49@example.net
904.521.863-15,Lorena Castro,1968-04-17,Sales do Campo,RS,Bronze,emilly93@example.org
279.354.816-28,Helena Teixeira,1957-07-18,Moura,PB,Prata,eduardo91@example.org
893.461.572-91,Gustavo Silva,1980-05-22,Borges de Moraes,PB,Prata,marquesjoao@example.net
670.432.819-03,Henrique Pacheco,1945-09-04,Lima,MS,Bronze,nogueiradante@example.org
704.315.692-07,Maria Flor Garcia,1946-03-02,Rezende,MS,Ouro,cavalcantistephany@example.com
823.605.917-03,Maria Helena da Conceição,1957-07-19,Ferreira de Cassiano,GO,Prata,henry-gabrielandrade@example.net
603.185.497-00,Augusto Guerra,1970-07-30,Nogueira,DF,Ouro,carvalhomilena@example.com
358.126.497-82,Bento Novais,2005-04-02,Pires,RO,Prata,fnovais@example.org
569.738.142-55,Vitor Gabriel Melo,1957-02-07,da Rosa,RR,Bronze,maria-fernandaaraujo@example.net
692.317.580-12,Maria Eduarda Borges,1977-02-26,Aragão,GO,Bronze,mrocha@example.net
013.645.879-39,Dr. Anthony Gabriel Cunha,2004-06-24,Sousa,AM,Bronze,sda-cruz@example.net
369.425.718-73,José Pedro Fonseca,1975-08-09,Martins de Brito,SE,Ouro,uteixeira@example.org
596.041.873-84,Maria Vitória da Rocha,1951-01-29,Farias,ES,Ouro,pnunes@example.com
854.639.701-57,Davi Miguel Silveira,1977-11-24,Cirino de Nogueira,RS,Ouro,mourabernardo@example.org
096.157.823-86,Henrique Montenegro,1971-09-27,Araújo do Amparo,RO,Bronze,aalmeida@example.net
860.742.591-94,Cauê Brito,1976-05-22,da Costa,DF,Bronze,daniela46@example.org
567.419.230-80,Ana Beatriz Borges,1968-04-14,Garcia da Prata,PR,Ouro,portoantony@example.net
217.639.045-80,Heitor Sales,2001-02-07,da Mata de Aparecida,AP,Ouro,yasmin90@example.org
503.417.896-66,Isabella Nunes,1997-07-03,Rocha da Prata,MT,Bronze,vsa@example.org
185.063.974-48,Maria Laura Vasconcelos,1962-12-01,Porto,GO,Prata,omendonca@example.com
869.154.307-84,Brayan Barros,1958-12-10,Garcia,RR,Bronze,heloisadias@example.com
190.236.475-99,Francisco Lopes,1971-04-02,Caldeira do Sul,AP,Ouro,francisco99@example.com
604.398.127-04,Maria Helena Cavalcante,1950-02-25,da Rosa Paulista,PR,Ouro,davi-lucascavalcante@example.com
469.302.751-07,Fernanda Marques,1947-12-26,da Rosa,AC,Bronze,nfarias@example.com
579.384.162-82,Gabriela Mendes,1962-02-01,Gonçalves,MT,Prata,mariane93@example.com
649.208.175-76,Amanda Siqueira,1972-02-13,Macedo,SE,Prata,davi-miguel67@example.org
439.518.706-48,Pietra Pacheco,1967-12-25,Nogueira do Norte,SE,Bronze,stella91@example.org
352.840.917-79,Anthony Brito,1958-04-24,Moraes,SC,Ouro,maitefreitas@example.com
782.903.516-40,Danilo Siqueira,1950-05-07,das Neves Alegre,PB,Prata,raquelmendes@example.com
719.563.208-30,Danilo Almeida,1998-06-29,Ramos do Campo,RO,Bronze,ryanmoreira@example.org
825.437.160-17,Pedro Gonçalves,1942-09-10,Machado,RJ,Prata,agomes@example.net
394.650.728-00,Dr. Gael Henrique Marques,1948-06-17,Rios do Amparo,PE,Prata,hellena96@example.net
158.634.927-91,Antonella Rocha,1949-10-27,Campos de Goiás,MA,Bronze,cirinoevelyn@example.net
286.341.750-90,Zoe Sales,2003-04-03,Novais,CE,Bronze,ida-paz@example.org
570.628.349-47,Sofia Rezende,1974-05-22,Rodrigues do Amparo,PA,Ouro,kmendonca@example.org
903.286.147-69,Raul Nunes,1991-03-27,Novaes de Moraes,AM,Prata,da-matayasmin@example.com
807.413.926-31,Arthur Gabriel Machado,1958-08-04,Borges dos Dourados,AM,Prata,ottosousa@example.net
562.419.803-51,Lara Peixoto,1977-05-15,Duarte,RR,Prata,amanda94@example.net
126.089.475-49,Sra. Isadora Teixeira,1998-02-09,Mendonça Grande,RJ,Bronze,kamilly67@example.org
164.523.790-70,Srta. Natália Porto,1985-11-25,Azevedo da Prata,MG,Bronze,lizcunha@example.com
459.278.163-55,Sr. Augusto Brito,1983-04-26,Almeida de Campos,CE,Bronze,amarques@example.com
324.180.567-08,Sr. Benjamim Gonçalves,1983-04-12,Silveira de Goiás,PA,Prata,santosgabriel@example.org
371.846.902-22,Sra. Bárbara Lima,1987-12-08,Mendes,AP,Bronze,hadassaborges@example.net
195.268.307-68,Vinícius Nunes,1941-04-13,Macedo,MS,Bronze,kevinjesus@example.net
731.096.852-21,Sr. Josué da Mota,1984-07-28,da Cruz,PI,Bronze,benjamim43@example.net
983.572.061-40,Brenda da Costa,1974-09-14,Moura,AC,Prata,anna-liz26@example.net
652.930.478-92,João Cunha,1943-06-01,Vieira,MG,Bronze,melissa66@example.net
612.709.543-34,Vitor Gabriel Duarte,1967-04-18,das Neves,RR,Ouro,psiqueira@example.org
316.094.785-84,Anthony Gabriel Santos,1950-01-16,Castro,PR,Ouro,rebeca84@example.org
524.906.813-89,Ana Luiza da Luz,1989-03-06,Monteiro,PB,Bronze,daniel79@example.org
524.607.938-47,Anthony Gabriel da Cruz,1943-11-01,Fonseca de Gomes,BA,Bronze,brayannovaes@example.net
635.182.409-51,Theodoro Rocha,2002-01-30,Cavalcanti,ES,Prata,guerradavi-miguel@example.com
495.083.617-00,Kevin Sousa,1983-01-30,Martins,MS,Bronze,xvargas@example.org
832.096.175-03,Alexia Farias,1940-10-21,Sousa da Mata,AM,Bronze,sofiada-costa@example.com
702.598.431-05,Sra. Natália Souza,1946-06-26,Montenegro,BA,Ouro,lbarbosa@example.net
062.175.483-80,Dr. João Gabriel da Conceição,1945-10-15,Carvalho,SP,Prata,cassianoheitor@example.org
795.304.281-97,Ravi da Luz,1998-09-19,Borges,CE,Prata,bruno35@example.org
135.840.297-32,Nathan Machado,1978-07-16,Brito,PB,Ouro,vieirajoao-lucas@example.org
093.167.248-13,Joana Barbosa,1942-03-10,Costa,RS,Ouro,fcardoso@example.com
107.894.325-79,Ana Garcia,1987-03-14,Cavalcanti da Praia,DF,Bronze,yanda-mota@example.com
203.597.461-52,Caio da Mota,1966-10-08,Leão,DF,Bronze,yasminvieira@example.org
657.432.918-37,Apollo Dias,1981-05-04,Alves,SE,Prata,danilo78@example.com
932.015.786-30,Mathias Fogaça,2004-05-06,Cavalcanti,ES,Prata,elisa90@example.net
523.674.801-17,Caleb Araújo,1956-07-14,Almeida,PE,Prata,vabreu@example.net
325.718.094-23,Cecília Vasconcelos,1948-04-02,Barbosa da Praia,RR,Prata,gpastor@example.com
452.183.976-28,Luiz Henrique Câmara,1985-12-29,Garcia,MA,Prata,jose-miguel20@example.net
960.142.857-76,Cecília Farias,1991-06-05,da Costa,MS,Ouro,lucas-gabriel15@example.com
043.159.268-33,Srta. Ana Julia Gomes,1970-07-12,Cavalcante das Pedras,PR,Bronze,iferreira@example.com
173.980.465-10,Dr. Cauã Barbosa,1963-12-19,Garcia,CE,Prata,novaesfrancisco@example.com
970.351.682-30,Lucas Costela,2007-01-05,Jesus,RR,Bronze,alexia43@example.org
067.192.583-03,Rhavi Costa,1947-04-22,Costela,CE,Ouro,enrico71@example.com
678.520.341-44,Maria Eduarda Cirino,1971-01-15,da Luz,PB,Bronze,oda-luz@example.com
902.658.471-76,Maria Sophia Sá,1980-11-01,Novaes,AL,Bronze,amoreira@example.net
739.208.564-65,Pietro Cavalcanti,2005-04-16,Cunha,SE,Prata,joseaparecida@example.com
163.859.240-33,Mathias Novais,1967-09-30,da Mota do Galho,PB,Prata,vianarebeca@example.com
162.945.037-52,Vitor Gabriel Ferreira,2000-06-12,da Luz das Flores,RS,Bronze,moliveira@example.com
024.317.695-34,Sr. Benicio Souza,1973-01-16,Freitas do Sul,MT,Bronze,ana-livia47@example.net
132.758.694-00,Aurora Correia,1970-10-06,Jesus,SC,Ouro,hteixeira@example.com
082.974.365-00,Gael Costa,1997-08-30,da Cruz,AL,Prata,xaragao@example.net
345.698.720-00,Ana da Costa,1966-01-19,Peixoto de Machado,CE,Ouro,jpastor@example.com
524.960.871-01,Enrico Oliveira,1993-10-09,Câmara,RS,Prata,noahda-mata@example.net
680.957.342-92,Alexia Câmara,1957-11-18,Silva Paulista,PA,Bronze,dferreira@example.com
374.586.920-65,Thomas Ribeiro,2006-06-23,Novais da Mata,MA,Ouro,mendesdavi-lucas@example.com
459.286.107-85,Nathan Ribeiro,1962-06-15,Silveira,AC,Ouro,qda-rocha@example.com
690.458.137-93,Yasmin Porto,1994-02-12,Rios de Fogaça,PE,Ouro,luigi82@example.com
172.584.963-19,Aurora Câmara,1964-11-18,Souza,MA,Ouro,vviana@example.com
497.603.528-00,Evelyn Montenegro,1948-11-10,Moura da Mata,PA,Ouro,cassianojoao-guilherme@example.org
567.128.049-49,Emanuelly Dias,1983-11-19,Abreu,PB,Bronze,otto29@example.org
712.435.689-09,Alana Andrade,1977-01-11,Siqueira,MS,Prata,duartesofia@example.org
093.152.487-32,Sarah Pastor,1961-07-15,Azevedo,TO,Bronze,da-rosaamanda@example.com
895.371.246-73,Enzo Guerra,1942-01-03,Câmara,SC,Prata,otaviosiqueira@example.org
982.076.351-77,Ana Julia Peixoto,2008-05-23,Ribeiro,AM,Bronze,aragaoigor@example.com
761.423.905-99,Otto Ribeiro,1947-07-30,Pinto Grande,PA,Prata,moraesisaac@example.com
197.846.230-13,Dr. Juan Castro,1943-05-22,Costela de Sales,PR,Ouro,ravy00@example.net
197.804.523-97,Igor Marques,2007-12-26,da Luz dos Dourados,AL,Bronze,cavalcantibruno@example.com
596.807.432-92,Eloá Farias,1965-01-13,Pinto de da Mata,SC,Ouro,freitascaroline@example.org
168.327.490-31,Davi Lucca Sampaio,1990-02-20,Castro,AM,Prata,epastor@example.net
726.984.053-92,Raquel Camargo,2001-02-08,Macedo do Norte,AP,Prata,ana-sophia08@example.net
935.467.018-01,Manuella Ribeiro,1986-09-23,Cassiano da Prata,RN,Ouro,albuquerquelevi@example.net
792.038.154-14,Thiago Câmara,1978-03-02,Guerra de Goiás,AP,Ouro,zmacedo@example.net
719.320.654-07,Nathan Jesus,1943-02-22,Borges,SE,Prata,nicole83@example.net
758.601.342-07,Dra. Maria Clara Silva,1971-07-02,Brito,SP,Prata,andrefernandes@example.com
485.706.139-20,Dra. Maria Luísa Caldeira,1958-01-04,Correia,AM,Bronze,dcunha@example.org
516.094.782-58,Sofia Carvalho,2006-04-18,Abreu de Moura,SC,Bronze,novaesluana@example.net
782.541.603-17,Luna Montenegro,2000-09-07,Leão de Goiás,GO,Ouro,sfernandes@example.com
296.457.831-19,Dra. Helena Costa,1954-12-23,Rodrigues da Praia,RO,Prata,luiz-henriquemontenegro@example.net
519.436.728-73,Alice Moreira,1947-12-14,Garcia,BA,Prata,riosdaniel@example.org
429.581.067-30,Vitor Hugo Andrade,1965-02-11,Caldeira de Pimenta,RO,Prata,heloisada-costa@example.net
406.372.851-07,Pedro Miguel Câmara,2002-09-25,Sá Verde,PI,Bronze,mathiasda-rocha@example.com
219.854.063-06,Lara Novais,1958-09-08,Castro,RJ,Prata,anthony57@example.net
209.748.613-40,Liam Moura,1955-09-04,Moreira,AP,Prata,kamillynogueira@example.net
615.892.473-37,Vinícius Melo,2008-07-11,Camargo,RO,Ouro,maite39@example.net
305.986.241-98,Valentim Vargas,1966-03-22,Mendonça de Aparecida,MA,Bronze,auroramoraes@example.org
120.579.483-23,Gustavo Nascimento,1997-02-06,Ramos de Minas,SC,Ouro,beniciomarques@example.net
501.867.239-03,Heloísa da Luz,1968-06-11,Machado das Flores,PA,Bronze,arthur-gabriel61@example.net
019.572.684-76,Aurora da Paz,1992-10-12,Garcia de Gonçalves,TO,Bronze,melolevi@example.net
326.748.195-37,Yuri Novais,1950-04-29,Aparecida,AC,Prata,jnascimento@example.org
435.189.602-70,José Correia,1948-07-03,Rios,SE,Prata,saisis@example.com
814.502.639-33,Dr. Davi Lucas Rios,1985-04-23,Brito,MA,Bronze,correiaanna-liz@example.com
754.891.263-37,André Dias,1957-06-16,Silva,SC,Bronze,xda-mota@example.org
578.329.640-65,Bruno da Mota,1999-02-21,Nascimento,DF,Ouro,eduardo10@example.net
063.942.758-83,Dr. Henry Gabriel Vargas,1980-10-29,Carvalho dos Dourados,PE,Bronze,goncalvesemanuella@example.net
032.641.897-04,Clara Sousa,1990-07-09,Fogaça de Aparecida,ES,Prata,eda-conceicao@example.com
530.914.268-15,Ana Clara Aparecida,2007-06-08,Caldeira do Galho,RS,Prata,vinicius98@example.net
268.940.715-94,Maria Luiza Fogaça,1996-04-26,Mendonça do Amparo,RN,Prata,montenegrojoao-lucas@example.com
231.459.706-07,Luiz Miguel Pereira,1989-07-08,Ribeiro,ES,Prata,ufarias@example.org
798.146.302-50,Davi Lucas Oliveira,1981-01-05,Carvalho,RS,Prata,oliveirajuan@example.org
249.836.071-96,Henrique Machado,1981-12-24,Mendes de Cavalcante,ES,Ouro,jpeixoto@example.net
284.159.370-32,Marcos Vinicius Gomes,1949-09-14,Almeida,DF,Bronze,mcassiano@example.org
270.645.831-35,Caroline Pereira,1977-05-28,Vasconcelos,RO,Prata,amoreira@example.com
086.135.249-15,Catarina da Cunha,1973-03-05,Barros,MA,Bronze,mda-cunha@example.org
081.493.726-87,Maria Cecília Caldeira,1951-03-29,Rezende Verde,GO,Prata,stella69@example.com
946.713.805-01,Rafaela da Cunha,2007-12-22,Oliveira da Praia,SP,Prata,isousa@example.net
137.659.084-01,Sr. Enrico Gomes,2006-05-06,Borges,TO,Bronze,maria-juliapeixoto@example.com
194.820.756-76,Stephany da Paz,1989-02-17,Vasconcelos,TO,Bronze,mayamacedo@example.org
384.107.625-44,Ana Carolina Fonseca,1956-12-26,Castro,AP,Ouro,isabelly56@example.com
930.567.421-61,Dra. Marcela Ferreira,2006-04-04,Câmara do Oeste,PB,Bronze,aoliveira@example.com
261.408.975-30,Jade Nascimento,1996-01-15,Sales dos Dourados,MG,Prata,pvargas@example.com
790.382.516-02,Heloísa Dias,1968-10-08,Moreira da Prata,AC,Ouro,theo41@example.com
512.379.846-37,Gabriel Monteiro,1990-11-13,da Costa,SC,Ouro,viniciuscostela@example.org
395.107.426-43,Alana Teixeira,1999-01-12,Mendes,MS,Bronze,marina94@example.com
284.317.506-26,Ágatha Andrade,1974-11-25,Gonçalves da Serra,PB,Bronze,sampaiorafaela@example.com
508.913.762-59,Joana Cirino,1978-01-13,da Costa Paulista,PR,Bronze,emanuelly27@example.com
365.298.704-74,Heloísa Brito,1989-10-03,da Costa da Prata,PA,Ouro,jcosta@example.net
270.135.694-61,Letícia da Cunha,1978-12-17,Gonçalves,AM,Ouro,dantecunha@example.com
719.526.483-19,Sr. Noah Campos,1964-08-06,Oliveira,RJ,Ouro,alicefogaca@example.com
879.034.216-03,Lucca Leão,1983-08-31,Barbosa de Minas,CE,Prata,rafael55@example.net
496.237.510-52,Antônio Cardoso,1990-03-25,Ribeiro,GO,Bronze,costelalucas-gabriel@example.com
198.340.576-01,João Pinto,1951-04-10,Rezende,MG,Ouro,raul34@example.com
298.067.413-31,Júlia Novaes,1970-12-23,Sampaio,PI,Prata,maria-alicepires@example.net
964.237.105-70,Luiz Otávio Jesus,1958-05-21,da Rosa,AC,Prata,moreirajoao-gabriel@example.com
470.536.281-08,Igor Vieira,1941-03-13,Correia das Pedras,PI,Ouro,pgoncalves@example.org
693.207.184-31,Vitor da Mata,1968-10-20,Azevedo,CE,Prata,amandacamargo@example.net
794.583.160-57,Benicio Nascimento,1942-03-19,Caldeira,MA,Bronze,jose70@example.org
120.398.654-89,Dr. Arthur Gabriel Farias,1946-03-01,Araújo,GO,Ouro,ibarbosa@example.com
234.680.795-83,Melina da Cruz,1990-11-25,Costa,PB,Bronze,moreiraoliver@example.com
645.170.892-58,Letícia Costa,1965-03-26,Rios,DF,Prata,da-costaluara@example.com
