cpf,score,nivel_risco,sinais_alerta
921.784.563-91,45,MONITORING,sinais_de_automacao;velocidade_das_acoes
736.285.490-00,12,NORMAL,
152.406.738-53,12,NORMAL,
327.108.456-44,54,MONITORING,multiplas_contas
458.017.362-71,13,NORMAL,
451.078.623-90,5,NORMAL,
614.597.328-55,28,NORMAL,
510.396.874-66,32,MONITORING,inconsistencia_de_dados
156.438.209-51,22,NORMAL,
961.325.780-21,26,NORMAL,
432.910.578-05,33,MONITORING,inconsistencia_de_dados
490.287.613-22,15,NORMAL,
073.248.195-32,57,MONITORING,multiplas_contas
925.863.410-15,52,MONITORING,inconsistencia_de_dados;sinais_de_automacao
925.041.873-60,15,NORMAL,
685.027.193-86,23,NORMAL,
805.641.392-89,33,MONITORING,multiplas_contas;inconsistencia_de_dados
738.291.654-55,18,NORMAL,
751.840.263-71,10,NORMAL,
065.139.247-07,28,NORMAL,
790.862.153-86,18,NORMAL,
718.634.025-35,24,NORMAL,
180.367.592-68,11,NORMAL,
527.931.406-43,6,NORMAL,
403.268.519-33,12,NORMAL,
416.039.825-15,21,NORMAL,
570.924.318-32,36,MONITORING,sinais_de_automacao
358.940.126-51,29,NORMAL,
310.589.427-60,12,NORMAL,
172.530.869-02,35,MONITORING,velocidade_das_acoes
237.094.516-80,16,NORMAL,
125.703.489-88,34,MONITORING,inconsistencia_de_dados
824.169.537-37,36,MONITORING,multiplas_contas;sinais_de_automacao;velocidade_das_acoes
928.546.730-00,7,NORMAL,
784.523.169-09,33,MONITORING,sinais_de_automacao
529.678.410-30,23,NORMAL,
468.172.903-50,52,MONITORING,velocidade_das_acoes
350.729.416-80,49,MONITORING,velocidade_das_acoes;sinais_de_automacao;inconsistencia_de_dados
083.246.915-70,18,NORMAL,
852.149.370-32,15,NORMAL,
952.347.861-37,51,MONITORING,velocidade_das_acoes;sinais_de_automacao
074.586.129-67,17,NORMAL,
562.391.874-37,38,MONITORING,multiplas_contas;velocidade_das_acoes
275.498.306-65,49,MONITORING,velocidade_das_acoes;inconsistencia_de_dados
584.207.316-17,30,NORMAL,
489.107.652-67,41,MONITORING,multiplas_contas;inconsistencia_de_dados;sinais_de_automacao
120.493.657-99,17,NORMAL,
026.719.354-80,34,MONITORING,multiplas_contas;sinais_de_automacao
729.810.645-76,16,NORMAL,
695.038.147-66,30,NORMAL,
904.521.863-15,21,NORMAL,
279.354.816-28,52,MONITORING,velocidade_das_acoes
893.461.572-91,9,NORMAL,
670.432.819-03,16,NORMAL,
704.315.692-07,9,NORMAL,
823.605.917-03,13,NORMAL,
603.185.497-00,16,NORMAL,
358.126.497-82,9,NORMAL,
569.738.142-55,27,NORMAL,
692.317.580-12,47,MONITORING,inconsistencia_de_dados;sinais_de_automacao
013.645.879-39,49,MONITORING,multiplas_contas
369.425.718-73,33,MONITORING,sinais_de_automacao;velocidade_das_acoes;inconsistencia_de_dados
596.041.873-84,19,NORMAL,
854.639.701-57,16,NORMAL,
096.157.823-86,24,NORMAL,
860.742.591-94,41,MONITORING,sinais_de_automacao;multiplas_contas
567.419.230-80,8,NORMAL,
217.639.045-80,19,NORMAL,
503.417.896-66,22,NORMAL,
185.063.974-48,36,MONITORING,sinais_de_automacao
869.154.307-84,13,NORMAL,
190.236.475-99,1,NORMAL,
604.398.127-04,17,NORMAL,
469.302.751-07,36,MONITORING,sinais_de_automacao;velocidade_das_acoes;multiplas_contas
579.384.162-82,34,MONITORING,multiplas_contas;inconsistencia_de_dados;velocidade_das_acoes
649.208.175-76,43,MONITORING,inconsistencia_de_dados
439.518.706-48,10,NORMAL,
352.840.917-79,14,NORMAL,
782.903.516-40,16,NORMAL,
719.563.208-30,26,NORMAL,
825.437.160-17,12,NORMAL,
394.650.728-00,31,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
158.634.927-91,11,NORMAL,
286.341.750-90,38,MONITORING,sinais_de_automacao;velocidade_das_acoes;multiplas_contas
570.628.349-47,5,NORMAL,
903.286.147-69,30,NORMAL,
807.413.926-31,19,NORMAL,
562.419.803-51,7,NORMAL,
126.089.475-49,23,NORMAL,
164.523.790-70,17,NORMAL,
459.278.163-55,29,NORMAL,
324.180.567-08,21,NORMAL,
371.846.902-22,9,NORMAL,
195.268.307-68,26,NORMAL,
731.096.852-21,6,NORMAL,
983.572.061-40,34,MONITORING,velocidade_das_acoes;multiplas_contas;inconsistencia_de_dados
652.930.478-92,44,MONITORING,inconsistencia_de_dados;sinais_de_automacao;velocidade_das_acoes
612.709.543-34,23,NORMAL,
316.094.785-84,31,MONITORING,velocidade_das_acoes
524.906.813-89,10,NORMAL,
524.607.938-47,26,NORMAL,
635.182.409-51,6,NORMAL,
495.083.617-00,20,NORMAL,
832.096.175-03,25,NORMAL,
702.598.431-05,20,NORMAL,
062.175.483-80,34,MONITORING,velocidade_das_acoes;sinais_de_automacao;inconsistencia_de_dados
795.304.281-97,51,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
135.840.297-32,25,NORMAL,
093.167.248-13,22,NORMAL,
107.894.325-79,31,MONITORING,sinais_de_automacao
203.597.461-52,28,NORMAL,
657.432.918-37,64,VERIFICATION,sinais_de_automacao;inconsistencia_de_dados
932.015.786-30,49,MONITORING,inconsistencia_de_dados;multiplas_contas
523.674.801-17,16,NORMAL,
325.718.094-23,32,MONITORING,multiplas_contas;sinais_de_automacao;inconsistencia_de_dados
452.183.976-28,10,NORMAL,
960.142.857-76,38,MONITORING,multiplas_contas;sinais_de_automacao
043.159.268-33,17,NORMAL,
173.980.465-10,13,NORMAL,
970.351.682-30,22,NORMAL,
067.192.583-03,10,NORMAL,
678.520.341-44,13,NORMAL,
902.658.471-76,45,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;multiplas_contas
739.208.564-65,16,NORMAL,
163.859.240-33,30,NORMAL,
162.945.037-52,9,NORMAL,
024.317.695-34,9,NORMAL,
132.758.694-00,47,MONITORING,sinais_de_automacao;inconsistencia_de_dados
082.974.365-00,11,NORMAL,
345.698.720-00,19,NORMAL,
524.960.871-01,42,MONITORING,multiplas_contas;velocidade_das_acoes
680.957.342-92,2,NORMAL,
374.586.920-65,20,NORMAL,
459.286.107-85,15,NORMAL,
690.458.137-93,9,NORMAL,
172.584.963-19,47,MONITORING,sinais_de_automacao;velocidade_das_acoes
497.603.528-00,12,NORMAL,
567.128.049-49,16,NORMAL,
712.435.689-09,13,NORMAL,
093.152.487-32,33,MONITORING,sinais_de_automacao;multiplas_contas;velocidade_das_acoes
895.371.246-73,35,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;multiplas_contas
982.076.351-77,26,NORMAL,
761.423.905-99,27,NORMAL,
197.846.230-13,7,NORMAL,
197.804.523-97,16,NORMAL,
596.807.432-92,9,NORMAL,
168.327.490-31,30,NORMAL,
726.984.053-92,56,MONITORING,sinais_de_automacao;velocidade_das_acoes
935.467.018-01,28,NORMAL,
792.038.154-14,21,NORMAL,
719.320.654-07,35,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
758.601.342-07,8,NORMAL,
485.706.139-20,23,NORMAL,
516.094.782-58,4,NORMAL,
782.541.603-17,19,NORMAL,
296.457.831-19,13,NORMAL,
519.436.728-73,19,NORMAL,
429.581.067-30,1,NORMAL,
406.372.851-07,8,NORMAL,
219.854.063-06,10,NORMAL,
209.748.613-40,53,MONITORING,velocidade_das_acoes
615.892.473-37,33,MONITORING,multiplas_contas;velocidade_das_acoes
305.986.241-98,17,NORMAL,
120.579.483-23,17,NORMAL,
501.867.239-03,24,NORMAL,
019.572.684-76,22,NORMAL,
326.748.195-37,9,NORMAL,
435.189.602-70,32,MONITORING,sinais_de_automacao
814.502.639-33,41,MONITORING,sinais_de_automacao;velocidade_das_acoes
754.891.263-37,12,NORMAL,
578.329.640-65,30,NORMAL,
063.942.758-83,13,NORMAL,
032.641.897-04,11,NORMAL,
530.914.268-15,16,NORMAL,
268.940.715-94,9,NORMAL,
231.459.706-07,59,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;multiplas_contas
798.146.302-50,22,NORMAL,
249.836.071-96,16,NORMAL,
284.159.370-32,16,NORMAL,
270.645.831-35,12,NORMAL,
086.135.249-15,21,NORMAL,
081.493.726-87,18,NORMAL,
946.713.805-01,5,NORMAL,
137.659.084-01,45,MONITORING,sinais_de_automacao;velocidade_das_acoes
194.820.756-76,21,NORMAL,
384.107.625-44,6,NORMAL,
930.567.421-61,38,MONITORING,inconsistencia_de_dados;sinais_de_automacao;multiplas_contas
261.408.975-30,18,NORMAL,
790.382.516-02,26,NORMAL,
512.379.846-37,51,MONITORING,sinais_de_automacao;inconsistencia_de_dados
395.107.426-43,36,MONITORING,multiplas_contas;velocidade_das_acoes;inconsistencia_de_dados
284.317.506-26,37,MONITORING,sinais_de_automacao;inconsistencia_de_dados
508.913.762-59,25,NORMAL,
365.298.704-74,27,NORMAL,
270.135.694-61,23,NORMAL,
719.526.483-19,22,NORMAL,
879.034.216-03,22,NORMAL,
496.237.510-52,18,NORMAL,
198.340.576-01,45,MONITORING,velocidade_das_acoes;sinais_de_automacao;multiplas_contas
298.067.413-31,21,NORMAL,
964.237.105-70,12,NORMAL,
470.536.281-08,51,MONITORING,velocidade_das_acoes
693.207.184-31,11,NORMAL,
794.583.160-57,32,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;sinais_de_automacao
120.398.654-89,30,NORMAL,
234.680.795-83,19,NORMAL,
645.170.892-58,35,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
024.793.158-60,22,NORMAL,
150.729.634-70,44,MONITORING,velocidade_das_acoes
407.539.261-99,20,NORMAL,
748.923.051-97,13,NORMAL,
387.641.259-55,39,MONITORING,velocidade_das_acoes;multiplas_contas
173.064.829-04,16,NORMAL,
719.650.238-86,27,NORMAL,
386.174.520-80,12,NORMAL,
865.714.392-55,63,VERIFICATION,sinais_de_automacao;velocidade_das_acoes
845.367.029-38,35,MONITORING,sinais_de_automacao
482.063.759-29,29,NORMAL,
315.698.720-40,36,MONITORING,multiplas_contas;velocidade_das_acoes;inconsistencia_de_dados
306.824.719-50,14,NORMAL,
628.703.591-95,24,NORMAL,
763.485.102-71,22,NORMAL,
358.470.261-53,16,NORMAL,
032.679.584-74,13,NORMAL,
872.560.394-92,35,MONITORING,inconsistencia_de_dados;multiplas_contas
645.907.231-07,42,MONITORING,inconsistencia_de_dados;multiplas_contas;sinais_de_automacao
780.914.253-41,10,NORMAL,
843.127.609-69,80,VERIFICATION,inconsistencia_de_dados;sinais_de_automacao;velocidade_das_acoes
283.619.570-30,24,NORMAL,
694.352.107-16,34,MONITORING,multiplas_contas;velocidade_das_acoes;sinais_de_automacao
051.837.624-90,13,NORMAL,
463.581.902-70,13,NORMAL,
560.473.892-10,11,NORMAL,
648.319.270-31,4,NORMAL,
695.301.827-59,23,NORMAL,
751.483.962-37,16,NORMAL,
479.510.682-76,56,MONITORING,velocidade_das_acoes;multiplas_contas
378.960.451-84,45,MONITORING,velocidade_das_acoes;inconsistencia_de_dados
945.067.382-92,61,VERIFICATION,inconsistencia_de_dados
561.834.072-08,11,NORMAL,
189.354.276-91,3,NORMAL,
934.105.768-00,46,MONITORING,sinais_de_automacao;inconsistencia_de_dados;velocidade_das_acoes
491.268.503-89,37,MONITORING,sinais_de_automacao;multiplas_contas
279.534.816-00,55,MONITORING,inconsistencia_de_dados
124.608.375-26,4,NORMAL,
173.286.945-64,27,NORMAL,
782.193.560-30,24,NORMAL,
810.274.596-76,21,NORMAL,
495.630.287-83,39,MONITORING,sinais_de_automacao;multiplas_contas;velocidade_das_acoes
432.079.581-41,26,NORMAL,
275.961.043-80,23,NORMAL,
456.182.973-37,14,NORMAL,
816.750.234-17,25,NORMAL,
536.784.290-92,10,NORMAL,
724.309.581-04,8,NORMAL,
274.385.609-29,15,NORMAL,
240.987.561-02,47,MONITORING,inconsistencia_de_dados;sinais_de_automacao;multiplas_contas
832.915.647-82,10,NORMAL,
621.753.489-46,7,NORMAL,
073.542.861-17,4,NORMAL,
781.460.935-66,22,NORMAL,
756.298.103-59,37,MONITORING,multiplas_contas;sinais_de_automacao;velocidade_das_acoes
904.381.572-14,32,MONITORING,sinais_de_automacao
524.691.308-24,36,MONITORING,inconsistencia_de_dados
723.458.061-17,17,NORMAL,
674.183.092-87,18,NORMAL,
491.258.370-79,27,NORMAL,
061.493.257-25,22,NORMAL,
126.574.908-67,16,NORMAL,
140.362.798-31,51,MONITORING,velocidade_das_acoes
863.450.721-17,48,MONITORING,multiplas_contas
096.217.348-78,39,MONITORING,inconsistencia_de_dados;multiplas_contas;velocidade_das_acoes
715.296.304-52,17,NORMAL,
615.309.872-02,19,NORMAL,
478.062.513-08,3,NORMAL,
270.348.195-05,8,NORMAL,
731.698.245-46,41,MONITORING,velocidade_das_acoes;inconsistencia_de_dados;multiplas_contas
426.158.730-08,20,NORMAL,
214.356.809-60,18,NORMAL,
714.230.896-69,14,NORMAL,
127.395.064-06,31,MONITORING,inconsistencia_de_dados;sinais_de_automacao;multiplas_contas
290.347.561-06,4,NORMAL,
639.108.457-20,38,MONITORING,multiplas_contas;inconsistencia_de_dados;sinais_de_automacao
543.210.897-60,45,MONITORING,sinais_de_automacao;multiplas_contas
923.074.561-80,45,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;multiplas_contas
206.873.519-95,30,NORMAL,
254.180.769-49,24,NORMAL,
701.352.894-32,13,NORMAL,
085.963.217-21,22,NORMAL,
817.549.632-00,46,MONITORING,inconsistencia_de_dados
174.382.069-04,4,NORMAL,
279.614.058-01,38,MONITORING,velocidade_das_acoes
035.842.716-90,7,NORMAL,
254.317.896-19,34,MONITORING,velocidade_das_acoes;multiplas_contas;sinais_de_automacao
274.915.068-01,59,MONITORING,inconsistencia_de_dados
275.104.936-25,0,NORMAL,
702.548.961-11,22,NORMAL,
301.498.567-84,38,MONITORING,velocidade_das_acoes
471.853.962-55,47,MONITORING,velocidade_das_acoes;inconsistencia_de_dados
785.043.691-10,45,MONITORING,multiplas_contas;sinais_de_automacao;inconsistencia_de_dados
487.029.513-04,47,MONITORING,inconsistencia_de_dados
462.351.089-15,3,NORMAL,
715.496.083-39,15,NORMAL,
650.294.783-29,32,MONITORING,inconsistencia_de_dados;multiplas_contas;velocidade_das_acoes
852.014.793-32,40,MONITORING,sinais_de_automacao;velocidade_das_acoes
981.360.452-24,37,MONITORING,velocidade_das_acoes
132.659.480-05,9,NORMAL,
310.654.789-84,17,NORMAL,
325.061.894-24,25,NORMAL,
394.170.586-57,43,MONITORING,multiplas_contas
361.820.945-24,38,MONITORING,velocidade_das_acoes;multiplas_contas
749.183.260-13,16,NORMAL,
781.093.426-04,8,NORMAL,
748.653.219-00,12,NORMAL,
201.586.394-05,8,NORMAL,
879.123.456-55,11,NORMAL,
567.309.128-12,3,NORMAL,
897.341.052-05,39,MONITORING,sinais_de_automacao
590.682.371-95,45,MONITORING,velocidade_das_acoes;inconsistencia_de_dados;sinais_de_automacao
520.487.391-05,33,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
651.930.782-30,7,NORMAL,
834.206.957-56,33,MONITORING,velocidade_das_acoes;multiplas_contas;inconsistencia_de_dados
148.357.209-97,24,NORMAL,
827.153.946-91,5,NORMAL,
513.672.490-07,50,MONITORING,multiplas_contas
786.350.149-01,21,NORMAL,
015.429.386-51,24,NORMAL,
158.643.970-75,27,NORMAL,
156.389.204-98,31,MONITORING,sinais_de_automacao;inconsistencia_de_dados;multiplas_contas
864.592.073-56,16,NORMAL,
756.902.814-76,16,NORMAL,
985.370.426-92,9,NORMAL,
192.846.357-64,2,NORMAL,
630.745.198-00,12,NORMAL,
152.408.397-60,20,NORMAL,
394.561.807-00,11,NORMAL,
256.813.497-64,41,MONITORING,inconsistencia_de_dados;multiplas_contas;sinais_de_automacao
908.245.316-98,12,NORMAL,
721.854.309-04,19,NORMAL,
945.312.607-16,30,NORMAL,
761.308.249-04,14,NORMAL,
284.756.190-02,7,NORMAL,
041.328.976-13,23,NORMAL,
975.864.102-67,9,NORMAL,
236.071.489-96,11,NORMAL,
837.965.241-09,36,MONITORING,inconsistencia_de_dados
573.961.820-77,19,NORMAL,
901.846.375-20,16,NORMAL,
260.739.451-16,9,NORMAL,
416.905.372-99,16,NORMAL,
203.861.574-80,12,NORMAL,
760.915.342-70,24,NORMAL,
168.734.209-13,24,NORMAL,
146.307.298-87,36,MONITORING,multiplas_contas;sinais_de_automacao;velocidade_das_acoes
957.123.486-91,11,NORMAL,
271.635.904-07,5,NORMAL,
139.478.256-09,18,NORMAL,
190.478.536-01,51,MONITORING,velocidade_das_acoes;multiplas_contas;inconsistencia_de_dados
760.132.459-16,8,NORMAL,
698.342.017-96,15,NORMAL,
029.564.813-98,12,NORMAL,
673.495.821-37,2,NORMAL,
431.962.580-33,13,NORMAL,
054.872.936-00,32,MONITORING,multiplas_contas
548.967.123-82,14,NORMAL,
691.083.745-20,51,MONITORING,multiplas_contas
678.531.420-80,9,NORMAL,
285.043.671-26,6,NORMAL,
028.643.917-40,18,NORMAL,
947.235.108-50,36,MONITORING,sinais_de_automacao;multiplas_contas
074.591.628-76,42,MONITORING,multiplas_contas
780.954.163-39,11,NORMAL,
056.139.278-12,14,NORMAL,
246.510.983-98,35,MONITORING,velocidade_das_acoes
397.468.015-20,30,NORMAL,
913.648.275-73,41,MONITORING,sinais_de_automacao;inconsistencia_de_dados
687.093.245-00,41,MONITORING,inconsistencia_de_dados;sinais_de_automacao
281.903.547-79,12,NORMAL,
593.742.086-10,50,MONITORING,multiplas_contas;sinais_de_automacao;velocidade_das_acoes
761.850.429-67,12,NORMAL,
537.016.289-12,6,NORMAL,
730.158.962-02,6,NORMAL,
934.150.286-15,44,MONITORING,sinais_de_automacao;inconsistencia_de_dados
879.240.153-88,21,NORMAL,
361.785.240-80,25,NORMAL,
350.624.179-61,35,MONITORING,multiplas_contas;inconsistencia_de_dados
207.894.365-74,37,MONITORING,inconsistencia_de_dados
907.365.814-48,21,NORMAL,
324.895.706-92,19,NORMAL,
274.895.603-65,56,MONITORING,sinais_de_automacao;inconsistencia_de_dados
153.876.249-82,30,NORMAL,
397.415.826-09,16,NORMAL,
124.397.806-69,3,NORMAL,
230.197.458-88,22,NORMAL,
286.507.149-94,11,NORMAL,
934.612.508-05,35,MONITORING,velocidade_das_acoes;sinais_de_automacao
126.754.893-28,16,NORMAL,
397.618.542-64,20,NORMAL,
530.849.216-60,32,MONITORING,sinais_de_automacao;inconsistencia_de_dados
415.029.683-98,21,NORMAL,
432.659.701-16,18,NORMAL,
638.591.704-57,12,NORMAL,
805.146.239-42,49,MONITORING,multiplas_contas;velocidade_das_acoes;sinais_de_automacao
028.745.319-79,49,MONITORING,sinais_de_automacao;multiplas_contas;velocidade_das_acoes
182.054.367-62,19,NORMAL,
802.735.196-03,71,VERIFICATION,velocidade_das_acoes;inconsistencia_de_dados
724.916.350-70,29,NORMAL,
014.532.789-23,19,NORMAL,
032.754.689-10,31,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;multiplas_contas
724.190.358-79,17,NORMAL,
257.360.498-56,10,NORMAL,
416.805.297-49,39,MONITORING,inconsistencia_de_dados
164.307.589-66,2,NORMAL,
531.706.498-84,34,MONITORING,velocidade_das_acoes
315.280.967-03,43,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;sinais_de_automacao
647.058.139-01,23,NORMAL,
150.463.827-17,24,NORMAL,
102.736.985-59,46,MONITORING,sinais_de_automacao
403.652.987-00,12,NORMAL,
270.836.149-03,29,NORMAL,
238.714.569-00,11,NORMAL,
768.913.052-68,19,NORMAL,
479.385.601-20,26,NORMAL,
567.294.013-70,19,NORMAL,
506.391.478-01,35,MONITORING,multiplas_contas;velocidade_das_acoes
168.540.937-75,6,NORMAL,
152.789.364-28,12,NORMAL,
462.178.903-13,22,NORMAL,
467.590.183-20,14,NORMAL,
108.274.536-71,62,VERIFICATION,sinais_de_automacao;velocidade_das_acoes
593.287.460-00,19,NORMAL,
357.489.620-47,24,NORMAL,
615.390.784-93,33,MONITORING,sinais_de_automacao
271.354.809-88,73,VERIFICATION,multiplas_contas;velocidade_das_acoes
471.589.306-10,41,MONITORING,multiplas_contas;velocidade_das_acoes;sinais_de_automacao
149.062.785-58,29,NORMAL,
836.925.140-42,9,NORMAL,
942.560.718-49,9,NORMAL,
238.560.179-68,44,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;multiplas_contas
614.258.309-51,23,NORMAL,
238.651.047-62,37,MONITORING,sinais_de_automacao;inconsistencia_de_dados;multiplas_contas
015.438.792-41,38,MONITORING,velocidade_das_acoes;inconsistencia_de_dados
176.253.804-08,7,NORMAL,
126.357.840-35,9,NORMAL,
718.690.524-20,15,NORMAL,
401.892.536-06,36,MONITORING,inconsistencia_de_dados;multiplas_contas
758.469.120-01,61,VERIFICATION,sinais_de_automacao;inconsistencia_de_dados
354.187.906-84,38,MONITORING,sinais_de_automacao;inconsistencia_de_dados
283.059.147-04,61,VERIFICATION,sinais_de_automacao
314.076.958-00,31,MONITORING,multiplas_contas
639.071.284-78,12,NORMAL,
625.974.310-61,53,MONITORING,sinais_de_automacao;inconsistencia_de_dados
405.719.326-06,8,NORMAL,
419.320.765-06,18,NORMAL,
827.345.016-35,34,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;sinais_de_automacao
972.541.603-16,31,MONITORING,sinais_de_automacao;velocidade_das_acoes
531.268.970-02,9,NORMAL,
507.269.831-95,37,MONITORING,multiplas_contas;inconsistencia_de_dados
261.307.954-16,10,NORMAL,
256.091.734-34,14,NORMAL,
167.439.285-00,26,NORMAL,
560.382.417-44,23,NORMAL,
637.504.192-99,10,NORMAL,
310.964.257-34,43,MONITORING,inconsistencia_de_dados
549.731.206-34,52,MONITORING,sinais_de_automacao
758.209.463-83,18,NORMAL,
910.458.623-98,14,NORMAL,
023.748.516-80,53,MONITORING,velocidade_das_acoes;sinais_de_automacao;multiplas_contas
240.871.365-07,51,MONITORING,velocidade_das_acoes
930.648.217-50,28,NORMAL,
249.701.865-02,12,NORMAL,
508.621.974-49,33,MONITORING,sinais_de_automacao
983.671.240-22,3,NORMAL,
172.395.486-19,30,NORMAL,
129.376.408-69,14,NORMAL,
314.857.092-88,21,NORMAL,
723.048.695-56,42,MONITORING,sinais_de_automacao;multiplas_contas;inconsistencia_de_dados
254.183.067-07,48,MONITORING,velocidade_das_acoes;sinais_de_automacao
928.347.156-37,49,MONITORING,velocidade_das_acoes
102.659.784-67,6,NORMAL,
658.397.421-55,21,NORMAL,
683.501.297-86,69,VERIFICATION,sinais_de_automacao;inconsistencia_de_dados;velocidade_das_acoes
286.175.093-68,41,MONITORING,sinais_de_automacao;multiplas_contas;inconsistencia_de_dados
720.186.935-30,9,NORMAL,
765.390.248-00,16,NORMAL,
784.962.130-13,13,NORMAL,
621.953.478-64,41,MONITORING,multiplas_contas;velocidade_das_acoes
950.126.738-59,36,MONITORING,multiplas_contas
907.862.513-95,18,NORMAL,
812.043.576-17,19,NORMAL,
295.318.476-73,11,NORMAL,
241.306.957-70,37,MONITORING,sinais_de_automacao
472.093.618-04,14,NORMAL,
740.859.126-58,14,NORMAL,
157.384.602-35,9,NORMAL,
739.028.654-74,7,NORMAL,
673.019.852-40,33,MONITORING,sinais_de_automacao
834.105.962-24,5,NORMAL,
960.481.723-03,33,MONITORING,multiplas_contas;inconsistencia_de_dados
807.613.942-22,16,NORMAL,
905.628.714-11,17,NORMAL,
528.439.761-46,19,NORMAL,
617.549.028-20,33,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;sinais_de_automacao
371.295.408-50,12,NORMAL,
092.674.518-20,14,NORMAL,
629.841.307-31,19,NORMAL,
106.854.972-67,11,NORMAL,
389.572.016-02,41,MONITORING,sinais_de_automacao;velocidade_das_acoes;inconsistencia_de_dados
421.038.756-80,39,MONITORING,sinais_de_automacao;inconsistencia_de_dados;multiplas_contas
728.901.534-79,30,NORMAL,
823.690.147-50,17,NORMAL,
847.536.901-48,47,MONITORING,velocidade_das_acoes;inconsistencia_de_dados;sinais_de_automacao
764.829.051-02,16,NORMAL,
964.758.210-20,19,NORMAL,
251.096.847-58,29,NORMAL,
841.953.672-55,42,MONITORING,multiplas_contas
256.140.983-05,51,MONITORING,multiplas_contas
716.529.483-09,4,NORMAL,
510.879.643-93,5,NORMAL,
019.276.438-13,15,NORMAL,
183.475.296-55,53,MONITORING,inconsistencia_de_dados;sinais_de_automacao;velocidade_das_acoes
170.986.345-57,11,NORMAL,
123.875.940-88,18,NORMAL,
307.128.956-12,45,MONITORING,velocidade_das_acoes;inconsistencia_de_dados
507.268.491-11,9,NORMAL,
031.795.426-16,7,NORMAL,
473.162.985-37,42,MONITORING,velocidade_das_acoes;sinais_de_automacao;inconsistencia_de_dados
128.739.064-13,18,NORMAL,
