id,cpf_cidadao,servico_slug,servico_nome,categoria,data_solicitacao,dias_para_concluir,status,nota_satisfacao,verificacao_facial_falhou
61,603.278.951-95,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-08-19,8,Concluído,3.4,False
62,482.135.679-19,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-01-11,1,Concluído,4.6,False
63,482.135.679-19,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-03-10,15,Concluído,4.1,False
64,387.651.042-26,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-11-07,14,Concluído,3.2,False
65,387.651.042-26,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-09-20,5,Concluído,2.3,False
66,387.651.042-26,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-07-03,7,Concluído,3.6,False
67,387.651.042-26,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-10-25,1,Concluído,4.6,False
68,917.354.826-09,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-03-09,1,Concluído,5.0,False
69,917.354.826-09,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-11-13,9,Concluído,3.8,False
70,917.354.826-09,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-10-04,5,Concluído,4.2,False
71,917.354.826-09,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-11-08,1,Concluído,4.5,False
72,287.041.653-90,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-02-06,5,Concluído,4.5,False
73,794.612.380-96,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-11-12,2,Concluído,4.7,False
74,794.612.380-96,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-07-06,1,Concluído,3.8,False
75,794.612.380-96,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-01-03,1,Concluído,4.1,False
76,362.510.987-59,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-10-07,5,Em andamento,3.4,True
77,362.510.987-59,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-08-06,11,Concluído,3.1,False
78,054.638.179-01,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-04-01,5,Concluído,5.0,False
79,054.638.179-01,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-09-26,1,Concluído,4.5,False
80,054.638.179-01,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-05-13,1,Concluído,4.7,False
81,054.638.179-01,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-04-09,12,Em andamento,3.4,False
82,806.479.521-49,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-12-27,6,Concluído,4.6,False
83,469.803.527-92,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-07-02,1,Concluído,4.7,False
84,469.803.527-92,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-10-14,3,Concluído,5.0,False
85,239.850.167-12,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-10-01,12,Concluído,3.3,False
86,239.850.167-12,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-10-28,4,Concluído,4.2,False
87,239.850.167-12,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-04-27,8,Concluído,3.5,False
88,239.850.167-12,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-01-21,1,Concluído,4.6,False
89,319.052.647-80,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-07-30,7,Concluído,3.3,False
90,726.154.839-19,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2025-11-26,1,Concluído,4.1,False
91,765.032.198-30,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-07-24,2,Em andamento,3.5,False
92,765.032.198-30,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2025-10-19,1,Concluído,4.9,False
93,673.589.402-29,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-03-12,4,Concluído,4.0,False
94,673.589.402-29,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-11-12,13,Concluído,4.0,False
95,673.589.402-29,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-12-03,10,Concluído,3.4,False
96,673.589.402-29,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-10-13,2,Concluído,4.1,False
97,685.273.914-73,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-10-10,6,Atrasado,4.0,False
98,748.012.536-44,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-12-02,1,Concluído,4.6,False
99,271.604.983-13,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-10-06,8,Concluído,4.1,False
100,102.947.835-04,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-01-09,2,Concluído,5.0,False
101,102.947.835-04,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-04-16,3,Concluído,3.7,False
102,964.780.532-29,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-03-26,17,Concluído,3.2,False
103,974.012.835-14,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-09-25,1,Concluído,3.2,False
104,974.012.835-14,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-02-02,11,Concluído,3.9,False
105,102.674.598-58,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-05-18,5,Concluído,3.6,False
106,102.674.598-58,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-06-07,3,Em andamento,4.9,False
107,102.674.598-58,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-04-23,1,Concluído,3.8,False
108,654.091.827-58,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-11-09,10,Concluído,4.0,False
109,654.091.827-58,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-12-05,2,Concluído,3.9,False
110,671.329.580-03,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-08-03,3,Em andamento,3.4,False
111,451.639.027-25,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-09-01,1,Concluído,4.9,False
112,451.639.027-25,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-03-01,2,Concluído,4.3,False
113,451.639.027-25,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-07-26,2,Concluído,3.8,False
114,451.639.027-25,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-07-06,7,Concluído,4.2,False
115,482.735.096-56,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-01-17,8,Concluído,3.7,False
116,482.735.096-56,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-06-30,4,Concluído,3.5,False
117,274.859.316-28,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-04-20,8,Concluído,4.0,False
118,584.602.731-80,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-10-26,1,Concluído,4.6,False
119,584.602.731-80,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-02-07,11,Concluído,3.7,False
120,584.602.731-80,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2025-10-07,3,Concluído,5.0,False
121,584.602.731-80,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-12-19,3,Concluído,3.5,False
122,369.870.251-77,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-01-17,2,Concluído,4.7,False
123,179.430.856-39,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-08-11,1,Concluído,4.7,False
124,570.481.293-79,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-12-09,1,Concluído,5.0,False
125,570.481.293-79,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-09-29,1,Concluído,4.8,False
126,570.481.293-79,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-07-07,6,Concluído,4.3,False
127,458.317.620-17,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-08-24,1,Concluído,4.8,False
128,458.317.620-17,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-12-10,1,Concluído,4.6,False
129,458.317.620-17,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-04-21,4,Em andamento,4.5,True
130,479.503.286-65,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-03-01,1,Concluído,4.8,False
131,479.503.286-65,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-03-10,12,Concluído,3.4,False
132,479.503.286-65,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-08-05,1,Concluído,4.6,False
133,713.942.568-09,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-03-31,2,Concluído,3.5,False
134,713.942.568-09,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-02-08,1,Concluído,5.0,False
135,713.942.568-09,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-03-18,8,Concluído,3.4,False
136,953.814.270-50,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-10-06,1,Concluído,4.2,False
137,214.953.806-70,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-11-07,1,Concluído,4.0,False
138,214.953.806-70,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-05-17,1,Concluído,3.7,False
139,179.863.205-59,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-06-28,2,Concluído,2.3,False
140,370.462.158-71,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-02-23,4,Em andamento,4.0,False
141,370.462.158-71,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-12-23,1,Concluído,4.4,False
142,132.867.540-80,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-11-05,9,Concluído,5.0,False
143,132.867.540-80,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-07-14,1,Concluído,4.7,False
144,132.867.540-80,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-01-30,3,Atrasado,4.3,False
145,519.472.086-67,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-12-11,11,Concluído,4.3,False
146,519.472.086-67,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-09-16,2,Concluído,4.2,False
147,519.472.086-67,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-12-28,6,Em andamento,5.0,False
148,231.647.508-62,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-01-18,6,Concluído,2.9,True
149,231.647.508-62,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-04-09,3,Concluído,4.3,False
150,231.647.508-62,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-02-17,3,Atrasado,3.7,False
151,053.429.176-70,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-07-11,2,Concluído,3.8,False
152,053.429.176-70,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-06-13,12,Concluído,3.5,False
153,053.429.176-70,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-08-17,6,Concluído,3.0,False
154,053.429.176-70,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-09-16,4,Concluído,5.0,False
155,830.564.217-80,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-06-06,5,Concluído,3.1,False
156,830.564.217-80,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-12-15,2,Concluído,5.0,False
157,830.564.217-80,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-11-21,4,Concluído,4.6,False
158,921.784.563-91,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-08-31,16,Concluído,4.4,False
159,921.784.563-91,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-05-30,5,Concluído,3.0,False
160,921.784.563-91,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-10-28,1,Concluído,4.4,False
161,736.285.490-00,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-02-19,8,Concluído,3.9,False
162,736.285.490-00,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-01-10,7,Concluído,3.9,False
163,152.406.738-53,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-07-10,12,Concluído,3.1,False
164,152.406.738-53,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-05-14,2,Concluído,4.0,False
165,152.406.738-53,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-07-27,3,Concluído,5.0,False
166,327.108.456-44,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-06-09,1,Concluído,3.6,False
167,327.108.456-44,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-01-02,11,Concluído,3.2,False
168,327.108.456-44,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-01-23,4,Concluído,3.8,False
169,327.108.456-44,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-08-20,4,Atrasado,4.4,False
170,458.017.362-71,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-07-21,1,Concluído,4.2,False
171,451.078.623-90,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-11-27,1,Concluído,4.4,False
172,451.078.623-90,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-03-01,1,Concluído,4.5,False
173,451.078.623-90,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-10-30,7,Em andamento,3.4,False
174,614.597.328-55,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-06-05,3,Concluído,3.2,True
175,614.597.328-55,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-03-28,4,Concluído,3.2,False
176,614.597.328-55,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-12-25,2,Concluído,5.0,False
177,510.396.874-66,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-12-29,6,Concluído,2.9,False
178,510.396.874-66,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-09-06,7,Atrasado,4.5,False
179,510.396.874-66,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-09-27,1,Concluído,3.3,False
180,510.396.874-66,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-10-14,9,Concluído,2.7,False
181,156.438.209-51,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-07-01,1,Concluído,3.9,False
182,156.438.209-51,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-09-21,5,Concluído,3.7,False
183,156.438.209-51,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-09-26,14,Concluído,4.5,False
184,156.438.209-51,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-01-16,2,Concluído,3.8,False
185,961.325.780-21,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-12-01,3,Concluído,4.4,False
186,961.325.780-21,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-06-18,1,Concluído,4.5,False
187,432.910.578-05,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-05-11,5,Atrasado,4.1,False
188,432.910.578-05,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2025-09-19,1,Concluído,5.0,False
189,432.910.578-05,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-03-20,1,Concluído,3.8,False
190,490.287.613-22,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-03-04,2,Concluído,4.2,False
191,490.287.613-22,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-07-02,4,Concluído,4.1,False
192,490.287.613-22,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-01-31,7,Concluído,3.0,False
193,073.248.195-32,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-07-06,8,Concluído,4.2,True
194,073.248.195-32,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-12-17,13,Concluído,4.2,False
195,073.248.195-32,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-03-29,3,Concluído,3.6,False
196,925.863.410-15,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-06-26,1,Em andamento,4.4,False
197,925.041.873-60,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-07-31,2,Concluído,3.5,False
198,925.041.873-60,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-08-26,10,Em andamento,3.5,False
199,925.041.873-60,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-02-23,1,Concluído,4.2,False
200,685.027.193-86,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-11-28,1,Concluído,3.8,False
201,685.027.193-86,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-01-25,13,Concluído,3.6,False
202,685.027.193-86,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-12-30,2,Concluído,4.0,False
203,805.641.392-89,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-10-18,12,Concluído,4.2,False
204,805.641.392-89,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-04-16,1,Concluído,4.1,False
205,738.291.654-55,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-08-01,7,Em andamento,3.9,False
206,738.291.654-55,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-09-11,1,Concluído,4.9,False
207,738.291.654-55,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-03-30,4,Concluído,4.5,False
208,738.291.654-55,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-09-25,3,Concluído,4.8,False
209,751.840.263-71,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2025-12-31,3,Concluído,3.9,False
210,751.840.263-71,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-09-26,21,Concluído,4.7,False
211,065.139.247-07,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-01-13,2,Concluído,5.0,False
212,065.139.247-07,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-02-14,6,Concluído,2.4,False
213,790.862.153-86,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-10-01,8,Concluído,2.5,False
214,790.862.153-86,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-09-19,1,Concluído,5.0,False
215,718.634.025-35,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-06-30,8,Concluído,4.6,False
216,718.634.025-35,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-11-20,1,Concluído,3.8,True
217,180.367.592-68,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-01-24,2,Concluído,3.3,False
218,180.367.592-68,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-09-03,1,Concluído,5.0,False
219,527.931.406-43,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-02-10,1,Atrasado,4.8,False
220,403.268.519-33,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-08-29,1,Concluído,4.9,False
221,416.039.825-15,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-03-06,7,Concluído,4.6,False
222,416.039.825-15,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-07-08,1,Concluído,4.0,False
223,416.039.825-15,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-12-13,10,Atrasado,4.0,False
224,416.039.825-15,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-09-03,8,Concluído,3.5,False
225,570.924.318-32,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-03-21,9,Atrasado,4.0,True
226,570.924.318-32,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-10-11,1,Concluído,4.8,False
227,570.924.318-32,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-09-06,12,Concluído,4.0,False
228,570.924.318-32,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-01-29,1,Concluído,4.0,False
229,358.940.126-51,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-02-02,1,Concluído,4.9,False
